Factor,Year,mostDeprived,leastDeprived,symbol
Trachea/bronchus/lung cancer incidence: aged < 75 years,2010,99.4,22.6,Lung-In
Trachea/bronchus/lung cancer incidence: aged < 75 years,2011,93.3,20.8,Lung-In
Trachea/bronchus/lung cancer deaths: aged 45-74 years,1998,246.3,51.8,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,1999,234.0,58.0,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2000,213.8,60.8,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2001,226.7,53.5,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2002,227.5,55.5,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2003,224.7,43.0,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2004,213.6,56.5,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2005,221.1,56.0,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2006,241.3,52.5,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2007,233.5,46.6,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2008,232.1,50.3,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2009,243.0,51.4,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2010,219.2,48.3,Lung-De
Trachea/bronchus/lung cancer deaths: aged 45-74 years,2011,217.4,53.6,Lung-De
Alcohol: 1st ever hospital admissions aged < 75 years,1998,623.1,102.8,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,1999,609.0,102.3,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2000,573.8,106.5,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2001,587.7,99.3,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2002,609.3,98.3,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2003,551.0,103.8,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2004,619.4,101.7,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2005,557.2,107.3,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2006,552.8,95.1,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2007,599.8,113.0,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2008,555.9,115.5,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2009,489.2,101.6,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2010,474.1,96.2,Alc-Ad
Alcohol: 1st ever hospital admissions aged < 75 years,2011,493.4,88.8,Alc-Ad
Alcohol: deaths aged 45-74 years,1998,203.1,30.8,Alc-De
Alcohol: deaths aged 45-74 years,1999,243.9,36.8,Alc-De
Alcohol: deaths aged 45-74 years,2000,233.1,31.6,Alc-De
Alcohol: deaths aged 45-74 years,2001,249.3,31.8,Alc-De
Alcohol: deaths aged 45-74 years,2002,308.4,22.6,Alc-De
Alcohol: deaths aged 45-74 years,2003,275.5,29.7,Alc-De
Alcohol: deaths aged 45-74 years,2004,264.5,24.7,Alc-De
Alcohol: deaths aged 45-74 years,2005,253.3,27.5,Alc-De
Alcohol: deaths aged 45-74 years,2006,303.4,24.7,Alc-De
Alcohol: deaths aged 45-74 years,2007,257.2,31.5,Alc-De
Alcohol: deaths aged 45-74 years,2008,259.3,27.7,Alc-De
Alcohol: deaths aged 45-74 years,2009,232.2,25.9,Alc-De
Alcohol: deaths aged 45-74 years,2010,235.6,27.0,Alc-De
Alcohol: deaths aged 45-74 years,2011,208.8,25.0,Alc-De
